RefEx Sample ID	Description	Number of samples	Sample type category	Tissue	Sub-region	Sex	Age	UBERON ID	UBERON label
RES00002948	Adipose - Subcutaneous, M, 70-79	14	tissues	Adipose	Subcutaneous	M	70-79	UBERON_0002190	subcutaneous adipose tissue
RES00002949	Thyroid, M, 70-79	16	tissues	Thyroid		M	70-79	UBERON_0002046	thyroid gland
RES00002950	Brain - Spinal cord (cervical c-1), M, 70-79	10	tissues	Brain	Spinal cord (cervical c-1)	M	70-79	UBERON_0006469	C1 segment of cervical spinal cord
RES00002951	Artery - Tibial, M, 70-79	15	tissues	Artery	Tibial	M	70-79	UBERON_0007610	tibial artery
RES00002952	Breast - Mammary Tissue, M, 70-79	12	tissues	Breast	Mammary Tissue	M	70-79	UBERON_0008367	breast epithelium
RES00002953	Lung, M, 70-79	22	tissues	Lung		M	70-79	UBERON_0008952	upper lobe of left lung
RES00002954	Heart - Atrial Appendage, M, 70-79	12	tissues	Heart	Atrial Appendage	M	70-79	UBERON_0006631	right atrium auricular region
RES00002955	Heart - Left Ventricle, M, 70-79	13	tissues	Heart	Left Ventricle	M	70-79	UBERON_0006566	left ventricle myocardium
RES00002956	Esophagus - Gastroesophageal Junction, M, 70-79	9	tissues	Esophagus	Gastroesophageal Junction	M	70-79	UBERON_0004550	gastroesophageal sphincter
RES00002957	Stomach, M, 70-79	5	tissues	Stomach		M	70-79	UBERON_0000945	stomach
RES00002958	Testis, M, 70-79	12	tissues	Testis		M	70-79	UBERON_0000473	testis
RES00002959	Brain - Cerebellar Hemisphere, M, 40-49	15	tissues	Brain	Cerebellar Hemisphere	M	40-49	UBERON_0002037	cerebellum
RES00002960	Brain - Substantia nigra, M, 40-49	10	tissues	Brain	Substantia nigra	M	40-49	UBERON_0002038	substantia nigra
RES00002961	Brain - Amygdala, M, 40-49	10	tissues	Brain	Amygdala	M	40-49	UBERON_0001876	amygdala
RES00002962	Brain - Hypothalamus, M, 40-49	13	tissues	Brain	Hypothalamus	M	40-49	UBERON_0001898	hypothalamus
RES00002963	Brain - Spinal cord (cervical c-1), M, 40-49	9	tissues	Brain	Spinal cord (cervical c-1)	M	40-49	UBERON_0006469	C1 segment of cervical spinal cord
RES00002964	Brain - Cerebellum, M, 70-79	11	tissues	Brain	Cerebellum	M	70-79	UBERON_0002037	cerebellum
RES00002965	Minor Salivary Gland, F, 40-49	12	tissues	Minor Salivary Gland		F	40-49	UBERON_0006330	anterior lingual gland
RES00002966	Colon - Sigmoid, M, 70-79	8	tissues	Colon	Sigmoid	M	70-79	UBERON_0001159	sigmoid colon
RES00002967	Spleen, F, 20-29	9	tissues	Spleen		F	20-29	UBERON_0002106	spleen
RES00002968	Minor Salivary Gland, F, 20-29	3	tissues	Minor Salivary Gland		F	20-29	UBERON_0006330	anterior lingual gland
RES00002969	Kidney - Cortex, M, 30-39	7	tissues	Kidney	Cortex	M	30-39	UBERON_0001225	cortex of kidney
RES00002970	Esophagus - Mucosa, M, 70-79	11	tissues	Esophagus	Mucosa	M	70-79	UBERON_0006920	esophagus squamous epithelium
RES00002971	Esophagus - Muscularis, M, 70-79	5	tissues	Esophagus	Muscularis	M	70-79	UBERON_0004648	esophagus muscularis mucosa
RES00002972	Adrenal Gland, M, 70-79	5	tissues	Adrenal Gland		M	70-79	UBERON_0002369	adrenal gland
RES00002973	Prostate, M, 70-79	7	tissues	Prostate		M	70-79	UBERON_0002367	prostate gland
RES00002974	Small Intestine - Terminal Ileum, M, 70-79	3	tissues	Small Intestine	Terminal Ileum	M	70-79	UBERON_0001211	Peyer's patch
RES00002975	Colon - Transverse, M, 70-79	9	tissues	Colon	Transverse	M	70-79	UBERON_0001157	transverse colon
RES00002976	Liver, F, 40-49	15	tissues	Liver		F	40-49	UBERON_0001114	right lobe of liver
RES00002977	Artery - Coronary, M, 70-79	5	tissues	Artery	Coronary	M	70-79	UBERON_0001621	coronary artery
RES00002978	Artery - Aorta, M, 70-79	6	tissues	Artery	Aorta	M	70-79	UBERON_0001496	ascending aorta
RES00002979	Liver, M, 70-79	4	tissues	Liver		M	70-79	UBERON_0001114	right lobe of liver
RES00002980	Whole Blood, F, 70-79	28	tissues	Whole Blood		F	70-79	UBERON_0013756	venous blood
RES00002981	Brain - Frontal Cortex (BA9), F, 70-79	7	tissues	Brain	Frontal Cortex (BA9)	F	70-79	UBERON_0009834	dorsolateral prefrontal cortex
RES00002982	Brain - Cerebellar Hemisphere, F, 70-79	7	tissues	Brain	Cerebellar Hemisphere	F	70-79	UBERON_0002037	cerebellum
RES00002983	Brain - Hippocampus, F, 70-79	5	tissues	Brain	Hippocampus	F	70-79	UBERON_0001954	Ammon's horn
RES00002984	Brain - Anterior cingulate cortex (BA24), F, 70-79	4	tissues	Brain	Anterior cingulate cortex (BA24)	F	70-79	UBERON_0009835	anterior cingulate cortex
RES00002985	Brain - Caudate (basal ganglia), F, 70-79	6	tissues	Brain	Caudate (basal ganglia)	F	70-79	UBERON_0001873	caudate nucleus
RES00002986	Brain - Hypothalamus, F, 70-79	4	tissues	Brain	Hypothalamus	F	70-79	UBERON_0001898	hypothalamus
RES00002987	Skin - Sun Exposed (Lower leg), F, 70-79	9	tissues	Skin	Sun Exposed (Lower leg)	F	70-79	UBERON_0004264	lower leg skin
RES00002988	Adipose - Subcutaneous, F, 70-79	8	tissues	Adipose	Subcutaneous	F	70-79	UBERON_0002190	subcutaneous adipose tissue
RES00002989	Nerve - Tibial, F, 70-79	7	tissues	Nerve	Tibial	F	70-79	UBERON_0001323	tibial nerve
RES00002990	Muscle - Skeletal, F, 70-79	13	tissues	Muscle	Skeletal	F	70-79	UBERON_0011907	gastrocnemius medialis
RES00002991	Breast - Mammary Tissue, F, 70-79	6	tissues	Breast	Mammary Tissue	F	70-79	UBERON_0008367	breast epithelium
RES00002992	Lung, F, 70-79	5	tissues	Lung		F	70-79	UBERON_0008952	upper lobe of left lung
RES00002993	Skin - Not Sun Exposed (Suprapubic), F, 70-79	8	tissues	Skin	Not Sun Exposed (Suprapubic)	F	70-79	UBERON_0036149	suprapubic skin
RES00002994	Brain - Cerebellum, F, 70-79	4	tissues	Brain	Cerebellum	F	70-79	UBERON_0002037	cerebellum
RES00002995	Pituitary, F, 70-79	4	tissues	Pituitary		F	70-79	UBERON_0000007	pituitary gland
RES00002996	Adrenal Gland, F, 70-79	2	tissues	Adrenal Gland		F	70-79	UBERON_0002369	adrenal gland
RES00002997	Thyroid, F, 70-79	7	tissues	Thyroid		F	70-79	UBERON_0002046	thyroid gland
RES00002998	Spleen, F, 70-79	1	tissues	Spleen		F	70-79	UBERON_0002106	spleen
RES00002999	Artery - Aorta, F, 70-79	3	tissues	Artery	Aorta	F	70-79	UBERON_0001496	ascending aorta
RES00003000	Heart - Atrial Appendage, F, 70-79	5	tissues	Heart	Atrial Appendage	F	70-79	UBERON_0006631	right atrium auricular region
RES00003001	Heart - Left Ventricle, F, 70-79	5	tissues	Heart	Left Ventricle	F	70-79	UBERON_0006566	left ventricle myocardium
RES00003002	Adipose - Visceral (Omentum), F, 70-79	4	tissues	Adipose	Visceral (Omentum)	F	70-79	UBERON_0010414	omental fat pad
RES00003003	Pancreas, F, 70-79	3	tissues	Pancreas		F	70-79	UBERON_0001150	body of pancreas
RES00003004	Esophagus - Muscularis, F, 70-79	5	tissues	Esophagus	Muscularis	F	70-79	UBERON_0004648	esophagus muscularis mucosa
RES00003005	Esophagus - Gastroesophageal Junction, F, 70-79	3	tissues	Esophagus	Gastroesophageal Junction	F	70-79	UBERON_0004550	gastroesophageal sphincter
RES00003006	Esophagus - Mucosa, F, 70-79	6	tissues	Esophagus	Mucosa	F	70-79	UBERON_0006920	esophagus squamous epithelium
RES00003007	Small Intestine - Terminal Ileum, F, 70-79	1	tissues	Small Intestine	Terminal Ileum	F	70-79	UBERON_0001211	Peyer's patch
RES00003008	Colon - Transverse, F, 70-79	2	tissues	Colon	Transverse	F	70-79	UBERON_0001157	transverse colon
RES00003009	Colon - Sigmoid, F, 70-79	5	tissues	Colon	Sigmoid	F	70-79	UBERON_0001159	sigmoid colon
RES00003010	Artery - Tibial, F, 70-79	5	tissues	Artery	Tibial	F	70-79	UBERON_0007610	tibial artery
RES00003011	Cells - Cultured fibroblasts, F, 70-79	6	primary cells	Cells	Cultured fibroblasts	F	70-79	EFO_0002009	fibroblast derived cell line
RES00003012	Brain - Substantia nigra, F, 70-79	1	tissues	Brain	Substantia nigra	F	70-79	UBERON_0002038	substantia nigra
RES00003013	Brain - Amygdala, F, 70-79	2	tissues	Brain	Amygdala	F	70-79	UBERON_0001876	amygdala
RES00003014	Brain - Nucleus accumbens (basal ganglia), F, 70-79	3	tissues	Brain	Nucleus accumbens (basal ganglia)	F	70-79	UBERON_0001882	nucleus accumbens
RES00003015	Brain - Putamen (basal ganglia), F, 70-79	2	tissues	Brain	Putamen (basal ganglia)	F	70-79	UBERON_0001874	putamen
RES00003016	Brain - Spinal cord (cervical c-1), F, 70-79	2	tissues	Brain	Spinal cord (cervical c-1)	F	70-79	UBERON_0006469	C1 segment of cervical spinal cord
RES00003017	Brain - Cortex, F, 70-79	6	tissues	Brain	Cortex	F	70-79	UBERON_0001870	frontal cortex
RES00003018	Brain - Frontal Cortex (BA9), F, 20-29	2	tissues	Brain	Frontal Cortex (BA9)	F	20-29	UBERON_0009834	dorsolateral prefrontal cortex
RES00003019	Brain - Cerebellar Hemisphere, F, 20-29	3	tissues	Brain	Cerebellar Hemisphere	F	20-29	UBERON_0002037	cerebellum
RES00003020	Brain - Hippocampus, F, 20-29	1	tissues	Brain	Hippocampus	F	20-29	UBERON_0001954	Ammon's horn
RES00003021	Brain - Substantia nigra, F, 20-29	2	tissues	Brain	Substantia nigra	F	20-29	UBERON_0002038	substantia nigra
RES00003022	Brain - Anterior cingulate cortex (BA24), F, 20-29	3	tissues	Brain	Anterior cingulate cortex (BA24)	F	20-29	UBERON_0009835	anterior cingulate cortex
RES00003023	Brain - Amygdala, F, 20-29	2	tissues	Brain	Amygdala	F	20-29	UBERON_0001876	amygdala
RES00003024	Brain - Caudate (basal ganglia), F, 20-29	3	tissues	Brain	Caudate (basal ganglia)	F	20-29	UBERON_0001873	caudate nucleus
RES00003025	Brain - Nucleus accumbens (basal ganglia), F, 20-29	3	tissues	Brain	Nucleus accumbens (basal ganglia)	F	20-29	UBERON_0001882	nucleus accumbens
RES00003026	Brain - Putamen (basal ganglia), F, 20-29	1	tissues	Brain	Putamen (basal ganglia)	F	20-29	UBERON_0001874	putamen
RES00003027	Brain - Hypothalamus, F, 20-29	1	tissues	Brain	Hypothalamus	F	20-29	UBERON_0001898	hypothalamus
RES00003028	Brain - Spinal cord (cervical c-1), F, 20-29	1	tissues	Brain	Spinal cord (cervical c-1)	F	20-29	UBERON_0006469	C1 segment of cervical spinal cord
RES00003029	Liver, F, 20-29	4	tissues	Liver		F	20-29	UBERON_0001114	right lobe of liver
RES00003030	Brain - Cerebellum, F, 20-29	2	tissues	Brain	Cerebellum	F	20-29	UBERON_0002037	cerebellum
RES00003031	Brain - Cortex, F, 20-29	4	tissues	Brain	Cortex	F	20-29	UBERON_0001870	frontal cortex
RES00003032	Pituitary, F, 20-29	4	tissues	Pituitary		F	20-29	UBERON_0000007	pituitary gland
RES00003033	Brain - Amygdala, F, 40-49	6	tissues	Brain	Amygdala	F	40-49	UBERON_0001876	amygdala
RES00003034	Ovary, F, 70-79	4	tissues	Ovary		F	70-79	UBERON_0000992	ovary
RES00003035	Vagina, F, 70-79	6	tissues	Vagina		F	70-79	UBERON_0000996	vagina
RES00003036	Spleen, M, 70-79	3	tissues	Spleen		M	70-79	UBERON_0002106	spleen
RES00003037	Brain - Hippocampus, M, 30-39	4	tissues	Brain	Hippocampus	M	30-39	UBERON_0001954	Ammon's horn
RES00003038	Brain - Anterior cingulate cortex (BA24), M, 30-39	3	tissues	Brain	Anterior cingulate cortex (BA24)	M	30-39	UBERON_0009835	anterior cingulate cortex
RES00003039	Brain - Amygdala, M, 30-39	3	tissues	Brain	Amygdala	M	30-39	UBERON_0001876	amygdala
RES00003040	Brain - Caudate (basal ganglia), M, 30-39	5	tissues	Brain	Caudate (basal ganglia)	M	30-39	UBERON_0001873	caudate nucleus
RES00003041	Brain - Nucleus accumbens (basal ganglia), M, 30-39	4	tissues	Brain	Nucleus accumbens (basal ganglia)	M	30-39	UBERON_0001882	nucleus accumbens
RES00003042	Brain - Putamen (basal ganglia), M, 30-39	4	tissues	Brain	Putamen (basal ganglia)	M	30-39	UBERON_0001874	putamen
RES00003043	Kidney - Cortex, M, 70-79	4	tissues	Kidney	Cortex	M	70-79	UBERON_0001225	cortex of kidney
RES00003044	Artery - Coronary, F, 70-79	1	tissues	Artery	Coronary	F	70-79	UBERON_0001621	coronary artery
RES00003045	Brain - Frontal Cortex (BA9), F, 30-39	2	tissues	Brain	Frontal Cortex (BA9)	F	30-39	UBERON_0009834	dorsolateral prefrontal cortex
RES00003046	Brain - Cerebellar Hemisphere, F, 30-39	2	tissues	Brain	Cerebellar Hemisphere	F	30-39	UBERON_0002037	cerebellum
RES00003047	Brain - Hippocampus, F, 30-39	2	tissues	Brain	Hippocampus	F	30-39	UBERON_0001954	Ammon's horn
RES00003048	Brain - Substantia nigra, F, 30-39	2	tissues	Brain	Substantia nigra	F	30-39	UBERON_0002038	substantia nigra
RES00003049	Brain - Amygdala, F, 30-39	2	tissues	Brain	Amygdala	F	30-39	UBERON_0001876	amygdala
RES00003050	Brain - Caudate (basal ganglia), F, 30-39	2	tissues	Brain	Caudate (basal ganglia)	F	30-39	UBERON_0001873	caudate nucleus
RES00003051	Brain - Nucleus accumbens (basal ganglia), F, 30-39	2	tissues	Brain	Nucleus accumbens (basal ganglia)	F	30-39	UBERON_0001882	nucleus accumbens
RES00003052	Brain - Putamen (basal ganglia), F, 30-39	2	tissues	Brain	Putamen (basal ganglia)	F	30-39	UBERON_0001874	putamen
RES00003053	Brain - Hypothalamus, F, 30-39	2	tissues	Brain	Hypothalamus	F	30-39	UBERON_0001898	hypothalamus
RES00003054	Brain - Cerebellum, F, 30-39	3	tissues	Brain	Cerebellum	F	30-39	UBERON_0002037	cerebellum
RES00003055	Brain - Cortex, F, 30-39	2	tissues	Brain	Cortex	F	30-39	UBERON_0001870	frontal cortex
RES00003056	Pituitary, F, 30-39	2	tissues	Pituitary		F	30-39	UBERON_0000007	pituitary gland
RES00003057	Minor Salivary Gland, M, 70-79	2	tissues	Minor Salivary Gland		M	70-79	UBERON_0006330	anterior lingual gland
RES00003058	Minor Salivary Gland, F, 50-59	11	tissues	Minor Salivary Gland		F	50-59	UBERON_0006330	anterior lingual gland
RES00003059	Cells - EBV-transformed lymphocytes, F, 70-79	2	primary cells	Cells	EBV-transformed lymphocytes	F	70-79	EFO_0000572	lymphoblast
RES00003060	Liver, F, 70-79	2	tissues	Liver		F	70-79	UBERON_0001114	right lobe of liver
RES00003061	Pancreas, M, 70-79	5	tissues	Pancreas		M	70-79	UBERON_0001150	body of pancreas
RES00003062	Cells - EBV-transformed lymphocytes, M, 70-79	2	primary cells	Cells	EBV-transformed lymphocytes	M	70-79	EFO_0000572	lymphoblast
RES00003063	Brain - Substantia nigra, M, 30-39	3	tissues	Brain	Substantia nigra	M	30-39	UBERON_0002038	substantia nigra
RES00003064	Uterus, F, 70-79	1	tissues	Uterus		F	70-79	UBERON_0000995	uterus
RES00003065	Stomach, F, 70-79	1	tissues	Stomach		F	70-79	UBERON_0000945	stomach
RES00003066	Kidney - Cortex, F, 40-49	3	tissues	Kidney	Cortex	F	40-49	UBERON_0001225	cortex of kidney
RES00003067	Kidney - Cortex, M, 20-29	2	tissues	Kidney	Cortex	M	20-29	UBERON_0001225	cortex of kidney
RES00003068	Liver, F, 30-39	3	tissues	Liver		F	30-39	UBERON_0001114	right lobe of liver
RES00003069	Cervix - Ectocervix, F, 60-69	2	tissues	Cervix	Ectocervix	F	60-69	UBERON_0012249	ectocervix
RES00003070	Fallopian Tube, F, 50-59	3	tissues	Fallopian Tube		F	50-59	UBERON_0003889	fallopian tube
RES00003071	Cervix - Endocervix, F, 60-69	2	tissues	Cervix	Endocervix	F	60-69	UBERON_0000458	endocervix
RES00003072	Bladder, M, 60-69	2	tissues	Bladder		M	60-69	UBERON_0001255	urinary bladder
RES00003073	Bladder, M, 40-49	4	tissues	Bladder		M	40-49	UBERON_0001255	urinary bladder
RES00003074	Cervix - Ectocervix, F, 40-49	4	tissues	Cervix	Ectocervix	F	40-49	UBERON_0012249	ectocervix
RES00003075	Cervix - Endocervix, F, 40-49	5	tissues	Cervix	Endocervix	F	40-49	UBERON_0000458	endocervix
RES00003076	Cervix - Endocervix, F, 50-59	2	tissues	Cervix	Endocervix	F	50-59	UBERON_0000458	endocervix
RES00003077	Brain - Anterior cingulate cortex (BA24), F, 30-39	1	tissues	Brain	Anterior cingulate cortex (BA24)	F	30-39	UBERON_0009835	anterior cingulate cortex
RES00003078	Brain - Spinal cord (cervical c-1), F, 30-39	3	tissues	Brain	Spinal cord (cervical c-1)	F	30-39	UBERON_0006469	C1 segment of cervical spinal cord
RES00003079	Bladder, M, 50-59	5	tissues	Bladder		M	50-59	UBERON_0001255	urinary bladder
RES00003080	Brain - Substantia nigra, M, 20-29	3	tissues	Brain	Substantia nigra	M	20-29	UBERON_0002038	substantia nigra
RES00003081	Brain - Amygdala, M, 20-29	4	tissues	Brain	Amygdala	M	20-29	UBERON_0001876	amygdala
RES00003082	Brain - Caudate (basal ganglia), M, 20-29	4	tissues	Brain	Caudate (basal ganglia)	M	20-29	UBERON_0001873	caudate nucleus
RES00003083	Brain - Hypothalamus, M, 20-29	4	tissues	Brain	Hypothalamus	M	20-29	UBERON_0001898	hypothalamus
RES00003084	Kidney - Medulla, M, 20-29	2	tissues	Kidney	Medulla	M	20-29	UBERON_0001293	outer medulla of kidney
RES00003085	Kidney - Medulla, F, 50-59	1	tissues	Kidney	Medulla	F	50-59	UBERON_0001293	outer medulla of kidney
RES00003086	Bladder, F, 50-59	2	tissues	Bladder		F	50-59	UBERON_0001255	urinary bladder
RES00003087	Cervix - Ectocervix, F, 50-59	1	tissues	Cervix	Ectocervix	F	50-59	UBERON_0012249	ectocervix
RES00003088	Bladder, M, 30-39	1	tissues	Bladder		M	30-39	UBERON_0001255	urinary bladder
RES00003089	Fallopian Tube, F, 40-49	3	tissues	Fallopian Tube		F	40-49	UBERON_0003889	fallopian tube
RES00003090	Bladder, M, 20-29	2	tissues	Bladder		M	20-29	UBERON_0001255	urinary bladder
RES00003091	Bladder, F, 40-49	3	tissues	Bladder		F	40-49	UBERON_0001255	urinary bladder
RES00003092	Fallopian Tube, F, 20-29	1	tissues	Fallopian Tube		F	20-29	UBERON_0003889	fallopian tube
RES00003093	Cervix - Ectocervix, F, 20-29	1	tissues	Cervix	Ectocervix	F	20-29	UBERON_0012249	ectocervix
RES00003094	Cervix - Endocervix, F, 20-29	1	tissues	Cervix	Endocervix	F	20-29	UBERON_0000458	endocervix
RES00003095	Bladder, F, 20-29	1	tissues	Bladder		F	20-29	UBERON_0001255	urinary bladder
RES00003096	Kidney - Medulla, M, 50-59	1	tissues	Kidney	Medulla	M	50-59	UBERON_0001293	outer medulla of kidney
RES00003097	Fallopian Tube, F, 60-69	1	tissues	Fallopian Tube		F	60-69	UBERON_0003889	fallopian tube
RES00003098	Cells - EBV-transformed lymphocytes, F, 30-39	2	primary cells	Cells	EBV-transformed lymphocytes	F	30-39	EFO_0000572	lymphoblast
RES00003099	Fallopian Tube, F, 30-39	1	tissues	Fallopian Tube		F	30-39	UBERON_0003889	fallopian tube
RES00003100	Bladder, F, 30-39	1	tissues	Bladder		F	30-39	UBERON_0001255	urinary bladder
RES00003101	Cervix - Ectocervix, F, 30-39	1	tissues	Cervix	Ectocervix	F	30-39	UBERON_0012249	ectocervix
RES00003102	Kidney - Cortex, F, 20-29	1	tissues	Kidney	Cortex	F	20-29	UBERON_0001225	cortex of kidney
RES00003103	Brain - Anterior cingulate cortex (BA24), M, 20-29	1	tissues	Brain	Anterior cingulate cortex (BA24)	M	20-29	UBERON_0009835	anterior cingulate cortex
RES00003104	Cells - Leukemia cell line (CML), F, 50-59	217	primary cells	Cells	Leukemia cell line (CML)	F	50-59		
