FANTOM5_Sample_ID	Characteristics [description]	Sample types category	Experiments category	Chracteristics [Species]	Characteristics [Sex]	Characteristics [Age]	Unit[Age]	Characteristics [Developmental stage]	UBERON ID	UBERON label	CL ID	CL label	NCIT ID	NCIT label
12390-131F5	Lymphatic Endothelial cells response to VEGFC, 02hr30min, biol_rep2 (MM XIV - 9)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	NA	UBERON:0001473	lymphatic vessel	CL:0002138	endothelial cell of lymphatic vessel	NA	NA
12391-131F6	Lymphatic Endothelial cells response to VEGFC, 03hr00min, biol_rep2 (MM XIV - 10)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	NA	UBERON:0001473	lymphatic vessel	CL:0002138	endothelial cell of lymphatic vessel	NA	NA
12392-131F7	Lymphatic Endothelial cells response to VEGFC, 03hr30min, biol_rep2 (MM XIV - 11)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	NA	UBERON:0001473	lymphatic vessel	CL:0002138	endothelial cell of lymphatic vessel	NA	NA
12393-131F8	Lymphatic Endothelial cells response to VEGFC, 04hr, biol_rep2 (MM XIV - 12)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	NA	UBERON:0001473	lymphatic vessel	CL:0002138	endothelial cell of lymphatic vessel	NA	NA
12394-131F9	Lymphatic Endothelial cells response to VEGFC, 05hr, biol_rep2 (MM XIV - 13)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	NA	UBERON:0001473	lymphatic vessel	CL:0002138	endothelial cell of lymphatic vessel	NA	NA
12395-131G1	Lymphatic Endothelial cells response to VEGFC, 06hr, biol_rep2 (MM XIV - 14)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	NA	UBERON:0001473	lymphatic vessel	CL:0002138	endothelial cell of lymphatic vessel	NA	NA
12396-131G2	Lymphatic Endothelial cells response to VEGFC, 07hr, biol_rep2 (MM XIV - 15)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	NA	UBERON:0001473	lymphatic vessel	CL:0002138	endothelial cell of lymphatic vessel	NA	NA
12397-131G3	Lymphatic Endothelial cells response to VEGFC, 08hr, biol_rep2 (MM XIV - 16)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	NA	UBERON:0001473	lymphatic vessel	CL:0002138	endothelial cell of lymphatic vessel	NA	NA
12504-133A2	Lymphatic Endothelial cells response to VEGFC, 00hr00min, biol_rep3 (MM XXII - 1 )	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	NA	UBERON:0001473	lymphatic vessel	CL:0002138	endothelial cell of lymphatic vessel	NA	NA
12505-133A3	Lymphatic Endothelial cells response to VEGFC, 00hr15min, biol_rep3 (MM XXII - 2)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	NA	UBERON:0001473	lymphatic vessel	CL:0002138	endothelial cell of lymphatic vessel	NA	NA
12506-133A4	Lymphatic Endothelial cells response to VEGFC, 00hr30min, biol_rep3 (MM XXII - 3)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	NA	UBERON:0001473	lymphatic vessel	CL:0002138	endothelial cell of lymphatic vessel	NA	NA
12507-133A5	Lymphatic Endothelial cells response to VEGFC, 00hr45min, biol_rep3 (MM XXII - 4)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	NA	UBERON:0001473	lymphatic vessel	CL:0002138	endothelial cell of lymphatic vessel	NA	NA
12508-133A6	Lymphatic Endothelial cells response to VEGFC, 01hr00min, biol_rep3 (MM XXII - 5)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	NA	UBERON:0001473	lymphatic vessel	CL:0002138	endothelial cell of lymphatic vessel	NA	NA
12509-133A7	Lymphatic Endothelial cells response to VEGFC, 01hr20min, biol_rep3 (MM XXII - 6)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	NA	UBERON:0001473	lymphatic vessel	CL:0002138	endothelial cell of lymphatic vessel	NA	NA
12510-133A8	Lymphatic Endothelial cells response to VEGFC, 01hr40min, biol_rep3 (MM XXII - 7)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	NA	UBERON:0001473	lymphatic vessel	CL:0002138	endothelial cell of lymphatic vessel	NA	NA
12511-133A9	Lymphatic Endothelial cells response to VEGFC, 02hr00min, biol_rep3 (MM XXII - 8)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	NA	UBERON:0001473	lymphatic vessel	CL:0002138	endothelial cell of lymphatic vessel	NA	NA
12512-133B1	Lymphatic Endothelial cells response to VEGFC, 02hr30min, biol_rep3 (MM XXII - 9)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	NA	UBERON:0001473	lymphatic vessel	CL:0002138	endothelial cell of lymphatic vessel	NA	NA
12513-133B2	Lymphatic Endothelial cells response to VEGFC, 03hr00min, biol_rep3 (MM XXII - 10)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	NA	UBERON:0001473	lymphatic vessel	CL:0002138	endothelial cell of lymphatic vessel	NA	NA
12514-133B3	Lymphatic Endothelial cells response to VEGFC, 03hr30min, biol_rep3 (MM XXII - 11)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	NA	UBERON:0001473	lymphatic vessel	CL:0002138	endothelial cell of lymphatic vessel	NA	NA
12515-133B4	Lymphatic Endothelial cells response to VEGFC, 04hr, biol_rep3 (MM XXII - 12)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	NA	UBERON:0001473	lymphatic vessel	CL:0002138	endothelial cell of lymphatic vessel	NA	NA
12516-133B5	Lymphatic Endothelial cells response to VEGFC, 05hr, biol_rep3 (MM XXII - 13)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	NA	UBERON:0001473	lymphatic vessel	CL:0002138	endothelial cell of lymphatic vessel	NA	NA
12517-133B6	Lymphatic Endothelial cells response to VEGFC, 06hr, biol_rep3 (MM XXII - 14)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	NA	UBERON:0001473	lymphatic vessel	CL:0002138	endothelial cell of lymphatic vessel	NA	NA
12518-133B7	Lymphatic Endothelial cells response to VEGFC, 07hr, biol_rep3 (MM XXII - 15)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	NA	UBERON:0001473	lymphatic vessel	CL:0002138	endothelial cell of lymphatic vessel	NA	NA
12519-133B8	Lymphatic Endothelial cells response to VEGFC, 08hr, biol_rep3 (MM XXII - 16)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	NA	UBERON:0001473	lymphatic vessel	CL:0002138	endothelial cell of lymphatic vessel	NA	NA
12626-134E7	H9 Embryonic Stem cells, biol_rep1 (H9ES-1)	stem cells	snapshot	Human (Homo sapiens)	female	NA	NA	NA	NA	NA	CL:0002322	embryonic stem cell	NA	NA
12627-134E8	H9 Embryoid body cells, melanocytic induction, day00, biol_rep1 (H9EB-1 d0)	stem cells	time courses	Human (Homo sapiens)	female	NA	NA	NA	UBERON:0014374	embryoid body	CL:0002322	embryonic stem cell	NA	NA
12628-134E9	H9 Embryoid body cells, melanocytic induction, day01, biol_rep1 (H9EB-1 d1)	stem cells	time courses	Human (Homo sapiens)	female	NA	NA	NA	NA	NA	CL:0000148	melanocyte	NA	NA
12629-134F1	H9 Embryoid body cells, melanocytic induction, day03, biol_rep1 (H9EB-1 d3)	stem cells	time courses	Human (Homo sapiens)	female	NA	NA	NA	NA	NA	CL:0000148	melanocyte	NA	NA
12630-134F2	H9 Embryoid body cells, melanocytic induction, day06, biol_rep1 (H9EB-1 d6)	stem cells	time courses	Human (Homo sapiens)	female	NA	NA	NA	NA	NA	CL:0000148	melanocyte	NA	NA
12631-134F3	H9 Embryoid body cells, melanocytic induction, day09, biol_rep1 (H9EB-1 d9)	stem cells	time courses	Human (Homo sapiens)	female	NA	NA	NA	NA	NA	CL:0000148	melanocyte	NA	NA
12632-134F4	H9 Embryoid body cells, melanocytic induction, day12, biol_rep1 (H9EB-1 d12)	stem cells	time courses	Human (Homo sapiens)	female	NA	NA	NA	NA	NA	CL:0000148	melanocyte	NA	NA
12633-134F5	H9 Embryoid body cells, melanocytic induction, day15, biol_rep1 (H9EB-1 d15)	stem cells	time courses	Human (Homo sapiens)	female	NA	NA	NA	NA	NA	CL:0000148	melanocyte	NA	NA
12634-134F6	H9 Embryoid body cells, melanocytic induction, day18, biol_rep1 (H9EB-1 d18)	stem cells	time courses	Human (Homo sapiens)	female	NA	NA	NA	NA	NA	CL:0000148	melanocyte	NA	NA
12635-134F7	H9 Embryoid body cells, melanocytic induction, day21, biol_rep1 (H9EB-1 d21)	stem cells	time courses	Human (Homo sapiens)	female	NA	NA	NA	NA	NA	CL:0000148	melanocyte	NA	NA
12636-134F8	H9 Embryoid body cells, melanocytic induction, day24, biol_rep1 (H9EB-1 d24)	stem cells	time courses	Human (Homo sapiens)	female	NA	NA	NA	NA	NA	CL:0000148	melanocyte	NA	NA
12637-134F9	H9 Embryoid body cells, melanocytic induction, day27, biol_rep1 (H9EB-1 d27)	stem cells	time courses	Human (Homo sapiens)	female	NA	NA	NA	NA	NA	CL:0000148	melanocyte	NA	NA
12638-134G1	H9 Embryoid body cells, melanocytic induction, day30, biol_rep1 (H9EB-1 d30)	stem cells	time courses	Human (Homo sapiens)	female	NA	NA	NA	NA	NA	CL:0000148	melanocyte	NA	NA
12639-134G2	H9 Embryoid body cells, melanocytic induction, day34, biol_rep1 (H9EB-1 d34)	stem cells	time courses	Human (Homo sapiens)	female	NA	NA	NA	NA	NA	CL:0000148	melanocyte	NA	NA
12640-134G3	H9 Embryoid body cells, melanocytic induction, day41, biol_rep1 (H9EB-1 d41)	stem cells	time courses	Human (Homo sapiens)	female	NA	NA	NA	NA	NA	CL:0000148	melanocyte	NA	NA
12641-134G4	Melanocyte, donor1 (MC+1)	primary cells	snapshot	Human (Homo sapiens)	male	NA	NA	NA	UBERON:0001003	skin epidermis	CL:0000148	melanocyte	NA	NA
12642-134G5	Aortic smooth muscle cell response to FGF2, 00hr00min, biol_rep1 (LK1)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	NA	UBERON:0004178	aorta smooth muscle tissue	CL:0002539	aortic smooth muscle cell	NA	NA
12643-134G6	Aortic smooth muscle cell response to FGF2, 00hr15min, biol_rep1 (LK4)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	NA	UBERON:0004178	aorta smooth muscle tissue	CL:0002539	aortic smooth muscle cell	NA	NA
12644-134G7	Aortic smooth muscle cell response to FGF2, 00hr30min, biol_rep1 (LK7)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	NA	UBERON:0004178	aorta smooth muscle tissue	CL:0002539	aortic smooth muscle cell	NA	NA
12645-134G8	Aortic smooth muscle cell response to FGF2, 00hr45min, biol_rep1 (LK10)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	NA	UBERON:0004178	aorta smooth muscle tissue	CL:0002539	aortic smooth muscle cell	NA	NA
12646-134G9	Aortic smooth muscle cell response to FGF2, 01hr, biol_rep1 (LK13)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	NA	UBERON:0004178	aorta smooth muscle tissue	CL:0002539	aortic smooth muscle cell	NA	NA
12647-134H1	Aortic smooth muscle cell response to FGF2, 02hr, biol_rep1 (LK16)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	NA	UBERON:0004178	aorta smooth muscle tissue	CL:0002539	aortic smooth muscle cell	NA	NA
12648-134H2	Aortic smooth muscle cell response to FGF2, 03hr, biol_rep1 (LK19)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	NA	UBERON:0004178	aorta smooth muscle tissue	CL:0002539	aortic smooth muscle cell	NA	NA
12649-134H3	Aortic smooth muscle cell response to FGF2, 04hr, biol_rep1 (LK22)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	NA	UBERON:0004178	aorta smooth muscle tissue	CL:0002539	aortic smooth muscle cell	NA	NA
12650-134H4	Aortic smooth muscle cell response to FGF2, 05hr, biol_rep1 (LK25)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	NA	UBERON:0004178	aorta smooth muscle tissue	CL:0002539	aortic smooth muscle cell	NA	NA
12651-134H5	Aortic smooth muscle cell response to FGF2, 06hr, biol_rep1 (LK28)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	NA	UBERON:0004178	aorta smooth muscle tissue	CL:0002539	aortic smooth muscle cell	NA	NA
12652-134H6	Aortic smooth muscle cell response to IL1b, 00hr00min, biol_rep1 (LK31)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	NA	UBERON:0004178	aorta smooth muscle tissue	CL:0002539	aortic smooth muscle cell	NA	NA
12653-134H7	Aortic smooth muscle cell response to IL1b, 00hr15min, biol_rep1 (LK34)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	NA	UBERON:0004178	aorta smooth muscle tissue	CL:0002539	aortic smooth muscle cell	NA	NA
12654-134H8	Aortic smooth muscle cell response to IL1b, 00hr30min, biol_rep1 (LK37)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	NA	UBERON:0004178	aorta smooth muscle tissue	CL:0002539	aortic smooth muscle cell	NA	NA
12655-134H9	Aortic smooth muscle cell response to IL1b, 00hr45min, biol_rep1 (LK40)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	NA	UBERON:0004178	aorta smooth muscle tissue	CL:0002539	aortic smooth muscle cell	NA	NA
12656-134I1	Aortic smooth muscle cell response to IL1b, 01hr, biol_rep1 (LK43)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	NA	UBERON:0004178	aorta smooth muscle tissue	CL:0002539	aortic smooth muscle cell	NA	NA
12657-134I2	Aortic smooth muscle cell response to IL1b, 02hr, biol_rep1 (LK46)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	NA	UBERON:0004178	aorta smooth muscle tissue	CL:0002539	aortic smooth muscle cell	NA	NA
12658-134I3	Aortic smooth muscle cell response to IL1b, 03hr, biol_rep1 (LK49)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	NA	UBERON:0004178	aorta smooth muscle tissue	CL:0002539	aortic smooth muscle cell	NA	NA
12659-134I4	Aortic smooth muscle cell response to IL1b, 04hr, biol_rep1 (LK52)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	NA	UBERON:0004178	aorta smooth muscle tissue	CL:0002539	aortic smooth muscle cell	NA	NA
12660-134I5	Aortic smooth muscle cell response to IL1b, 05hr, biol_rep1 (LK55)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	NA	UBERON:0004178	aorta smooth muscle tissue	CL:0002539	aortic smooth muscle cell	NA	NA
12661-134I6	Aortic smooth muscle cell response to IL1b, 06hr, biol_rep1 (LK58)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	NA	UBERON:0004178	aorta smooth muscle tissue	CL:0002539	aortic smooth muscle cell	NA	NA
12662-134I7	Saos-2 osteosarcoma treated with ascorbic acid and BGP to induce calcification, 00hr00min, biol_rep2 (A1 T0)	cell lines	time courses	Human (Homo sapiens)	female	NA	NA	NA	UBERON:0008883	osteoid	CL:0000062	osteoblast	NCIT:C9145	Osteosarcoma
12663-134I8	Saos-2 osteosarcoma treated with ascorbic acid and BGP to induce calcification, 00hr15min, biol_rep1 (A1 T1)	cell lines	time courses	Human (Homo sapiens)	female	NA	NA	NA	UBERON:0008883	osteoid	CL:0000062	osteoblast	NCIT:C9145	Osteosarcoma
12664-134I9	Saos-2 osteosarcoma treated with ascorbic acid and BGP to induce calcification, 00hr30min, biol_rep1 (A1 T2)	cell lines	time courses	Human (Homo sapiens)	female	NA	NA	NA	UBERON:0008883	osteoid	CL:0000062	osteoblast	NCIT:C9145	Osteosarcoma
12665-135A1	Saos-2 osteosarcoma treated with ascorbic acid and BGP to induce calcification, 00hr45min, biol_rep1 (A1 T3)	cell lines	time courses	Human (Homo sapiens)	female	NA	NA	NA	UBERON:0008883	osteoid	CL:0000062	osteoblast	NCIT:C9145	Osteosarcoma
12666-135A2	Saos-2 osteosarcoma treated with ascorbic acid and BGP to induce calcification, 01hr00min, biol_rep1 (A1 T4)	cell lines	time courses	Human (Homo sapiens)	female	NA	NA	NA	UBERON:0008883	osteoid	CL:0000062	osteoblast	NCIT:C9145	Osteosarcoma
12667-135A3	Saos-2 osteosarcoma treated with ascorbic acid and BGP to induce calcification, 01hr20min, biol_rep1 (A1 T5)	cell lines	time courses	Human (Homo sapiens)	female	NA	NA	NA	UBERON:0008883	osteoid	CL:0000062	osteoblast	NCIT:C9145	Osteosarcoma
12668-135A4	Saos-2 osteosarcoma treated with ascorbic acid and BGP to induce calcification, 01hr40min, biol_rep1 (A1 T6)	cell lines	time courses	Human (Homo sapiens)	female	NA	NA	NA	UBERON:0008883	osteoid	CL:0000062	osteoblast	NCIT:C9145	Osteosarcoma
12669-135A5	Saos-2 osteosarcoma treated with ascorbic acid and BGP to induce calcification, 02hr00min, biol_rep1 (A1 T7)	cell lines	time courses	Human (Homo sapiens)	female	NA	NA	NA	UBERON:0008883	osteoid	CL:0000062	osteoblast	NCIT:C9145	Osteosarcoma
12670-135A6	Saos-2 osteosarcoma treated with ascorbic acid and BGP to induce calcification, 02hr30min, biol_rep1 (A1 T8)	cell lines	time courses	Human (Homo sapiens)	female	NA	NA	NA	UBERON:0008883	osteoid	CL:0000062	osteoblast	NCIT:C9145	Osteosarcoma
12671-135A7	Saos-2 osteosarcoma treated with ascorbic acid and BGP to induce calcification, 03hr, biol_rep1 (A1 T9)	cell lines	time courses	Human (Homo sapiens)	female	NA	NA	NA	UBERON:0008883	osteoid	CL:0000062	osteoblast	NCIT:C9145	Osteosarcoma
12672-135A8	Saos-2 osteosarcoma treated with ascorbic acid and BGP to induce calcification, 04hr, biol_rep1 (A1 T10)	cell lines	time courses	Human (Homo sapiens)	female	NA	NA	NA	UBERON:0008883	osteoid	CL:0000062	osteoblast	NCIT:C9145	Osteosarcoma
12673-135A9	Saos-2 osteosarcoma treated with ascorbic acid and BGP to induce calcification, 08hr, biol_rep1 (A1 T11)	cell lines	time courses	Human (Homo sapiens)	female	NA	NA	NA	UBERON:0008883	osteoid	CL:0000062	osteoblast	NCIT:C9145	Osteosarcoma
12674-135B1	Saos-2 osteosarcoma treated with ascorbic acid and BGP to induce calcification, 24hr, biol_rep1 (A1 T12)	cell lines	time courses	Human (Homo sapiens)	female	NA	NA	NA	UBERON:0008883	osteoid	CL:0000062	osteoblast	NCIT:C9145	Osteosarcoma
12675-135B2	Saos-2 osteosarcoma treated with ascorbic acid and BGP to induce calcification, day04, biol_rep1 (A1 T13)	cell lines	time courses	Human (Homo sapiens)	female	NA	NA	NA	UBERON:0008883	osteoid	CL:0000062	osteoblast	NCIT:C9145	Osteosarcoma
12676-135B3	Saos-2 osteosarcoma treated with ascorbic acid and BGP to induce calcification, day07, biol_rep1 (A1 T14)	cell lines	time courses	Human (Homo sapiens)	female	NA	NA	NA	UBERON:0008883	osteoid	CL:0000062	osteoblast	NCIT:C9145	Osteosarcoma
12677-135B4	Saos-2 osteosarcoma treated with ascorbic acid and BGP to induce calcification, day14, biol_rep1 (A1 T15)	cell lines	time courses	Human (Homo sapiens)	female	NA	NA	NA	UBERON:0008883	osteoid	CL:0000062	osteoblast	NCIT:C9145	Osteosarcoma
12678-135B5	Saos-2 osteosarcoma treated with ascorbic acid and BGP to induce calcification, day21, biol_rep1 (A1 T16)	cell lines	time courses	Human (Homo sapiens)	female	NA	NA	NA	UBERON:0008883	osteoid	CL:0000062	osteoblast	NCIT:C9145	Osteosarcoma
12679-135B6	Saos-2 osteosarcoma treated with ascorbic acid and BGP to induce calcification, day28, biol_rep2 (A1 T17)	cell lines	time courses	Human (Homo sapiens)	female	NA	NA	NA	UBERON:0008883	osteoid	CL:0000062	osteoblast	NCIT:C9145	Osteosarcoma
12697-135D6	Saos-2 osteosarcoma cell line, untreated control, day28, biol_rep1 (B1 T17)	cell lines	time courses	Human (Homo sapiens)	female	NA	NA	NA	UBERON:0008883	osteoid	CL:0000062	osteoblast	NCIT:C9145	Osteosarcoma
12698-135D7	Monocyte-derived macrophages response to LPS, 00hr00min, donor1 (t1 Subject1)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	adult	UBERON:0000178	blood	CL:0000235	macrophage	NA	NA
12699-135D8	Monocyte-derived macrophages response to LPS, 00hr15min, donor1 (t2 Subject1)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	adult	UBERON:0000178	blood	CL:0000235	macrophage	NA	NA
12700-135D9	Monocyte-derived macrophages response to LPS, 00hr30min, donor1 (t3 Subject1)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	adult	UBERON:0000178	blood	CL:0000235	macrophage	NA	NA
12701-135E1	Monocyte-derived macrophages response to LPS, 00hr45min, donor1 (t4 Subject1)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	adult	UBERON:0000178	blood	CL:0000235	macrophage	NA	NA
12702-135E2	Monocyte-derived macrophages response to LPS, 01hr00min, donor1 (t5 Subject1)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	adult	UBERON:0000178	blood	CL:0000235	macrophage	NA	NA
12703-135E3	Monocyte-derived macrophages response to LPS, 01hr20min, donor1 (t6 Subject1)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	adult	UBERON:0000178	blood	CL:0000235	macrophage	NA	NA
12704-135E4	Monocyte-derived macrophages response to LPS, 01hr40min, donor1 (t7 Subject1)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	adult	UBERON:0000178	blood	CL:0000235	macrophage	NA	NA
12705-135E5	Monocyte-derived macrophages response to LPS, 02hr00min, donor1 (t8 Subject1)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	adult	UBERON:0000178	blood	CL:0000235	macrophage	NA	NA
12706-135E6	Monocyte-derived macrophages response to LPS, 02hr30min, donor1 (t9 Subject1)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	adult	UBERON:0000178	blood	CL:0000235	macrophage	NA	NA
12707-135E7	Monocyte-derived macrophages response to LPS, 03hr00min, donor1 (t10 Subject1)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	adult	UBERON:0000178	blood	CL:0000235	macrophage	NA	NA
12708-135E8	Monocyte-derived macrophages response to LPS, 03hr30min, donor1 (t11 Subject1)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	adult	UBERON:0000178	blood	CL:0000235	macrophage	NA	NA
12709-135E9	Monocyte-derived macrophages response to LPS, 04hr, donor1 (t12 Subject1)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	adult	UBERON:0000178	blood	CL:0000235	macrophage	NA	NA
12710-135F1	Monocyte-derived macrophages response to LPS, 05hr, donor1 (t13 Subject1)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	adult	UBERON:0000178	blood	CL:0000235	macrophage	NA	NA
12711-135F2	Monocyte-derived macrophages response to LPS, 06hr, donor1 (t14 Subject1)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	adult	UBERON:0000178	blood	CL:0000235	macrophage	NA	NA
12712-135F3	Monocyte-derived macrophages response to LPS, 07hr, donor1 (t15 Subject1)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	adult	UBERON:0000178	blood	CL:0000235	macrophage	NA	NA
12713-135F4	Monocyte-derived macrophages response to LPS, 08hr, donor1 (t16 Subject1)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	adult	UBERON:0000178	blood	CL:0000235	macrophage	NA	NA
12714-135F5	Monocyte-derived macrophages response to LPS, 10hr, donor1 (t17 Subject1)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	adult	UBERON:0000178	blood	CL:0000235	macrophage	NA	NA
12715-135F6	Monocyte-derived macrophages repsonse to LPS, 12hr, donor1 (t18 Subject1)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	adult	UBERON:0000178	blood	CL:0000235	macrophage	NA	NA
12716-135F7	Monocyte-derived macrophages response to LPS, 14hr, donor1 (t19 Subject1)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	adult	UBERON:0000178	blood	CL:0000235	macrophage	NA	NA
12717-135F8	Monocyte-derived macrophages response to LPS, 16hr, donor1 (t20 Subject1)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	adult	UBERON:0000178	blood	CL:0000235	macrophage	NA	NA
12718-135F9	Monocyte-derived macrophages repsonse to LPS, 18hr, donor1 (t21 Subject1)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	adult	UBERON:0000178	blood	CL:0000235	macrophage	NA	NA
12719-135G1	Monocyte-derived macrophages response to LPS, 20hr, donor1 (t22 Subject1)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	adult	UBERON:0000178	blood	CL:0000235	macrophage	NA	NA
12720-135G2	Monocyte-derived macrophages repsonse to LPS, 22hr, donor1 (t23 Subject1)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	adult	UBERON:0000178	blood	CL:0000235	macrophage	NA	NA
12721-135G3	Monocyte-derived macrophages response to LPS, 24hr, donor1 (t24 Subject1)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	adult	UBERON:0000178	blood	CL:0000235	macrophage	NA	NA
12722-135G4	Monocyte-derived macrophages response to LPS, 36hr, donor1 (t25 Subject1)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	adult	UBERON:0000178	blood	CL:0000235	macrophage	NA	NA
12723-135G5	Monocyte-derived macrophages response to LPS, 48hr, donor1 (t26 Subject1)	primary cells	time courses	Human (Homo sapiens)	NA	NA	NA	adult	UBERON:0000178	blood	CL:0000235	macrophage	NA	NA
12724-135G6	H9 Embryonic Stem cells, biol_rep2 (H9ES-2)	stem cells	snapshot	Human (Homo sapiens)	female	NA	NA	NA	NA	NA	CL:0002322	embryonic stem cell	NA	NA
12725-135G7	H9 Embryoid body cells, melanocytic induction, day00, biol_rep2 (H9EB-2 d0)	stem cells	time courses	Human (Homo sapiens)	female	NA	NA	NA	UBERON:0014374	embryoid body	CL:0002322	embryonic stem cell	NA	NA
12726-135G8	H9 Embryoid body cells, melanocytic induction, day01, biol_rep2 (H9EB-2 d1)	stem cells	time courses	Human (Homo sapiens)	female	NA	NA	NA	NA	NA	CL:0000148	melanocyte	NA	NA
12727-135G9	H9 Embryoid body cells, melanocytic induction, day03, biol_rep2 (H9EB-2 d3)	stem cells	time courses	Human (Homo sapiens)	female	NA	NA	NA	NA	NA	CL:0000148	melanocyte	NA	NA
12728-135H1	H9 Embryoid body cells, melanocytic induction, day06, biol_rep2 (H9EB-2 d6)	stem cells	time courses	Human (Homo sapiens)	female	NA	NA	NA	NA	NA	CL:0000148	melanocyte	NA	NA
12729-135H2	H9 Embryoid body cells, melanocytic induction, day09, biol_rep2 (H9EB-2 d9)	stem cells	time courses	Human (Homo sapiens)	female	NA	NA	NA	NA	NA	CL:0000148	melanocyte	NA	NA
12730-135H3	H9 Embryoid body cells, melanocytic induction, day12, biol_rep2 (H9EB-2 d12)	stem cells	time courses	Human (Homo sapiens)	female	NA	NA	NA	NA	NA	CL:0000148	melanocyte	NA	NA
12731-135H4	H9 Embryoid body cells, melanocytic induction, day15, biol_rep2 (H9EB-2 d15)	stem cells	time courses	Human (Homo sapiens)	female	NA	NA	NA	NA	NA	CL:0000148	melanocyte	NA	NA
12732-135H5	H9 Embryoid body cells, melanocytic induction, day18, biol_rep2 (H9EB-2 d18)	stem cells	time courses	Human (Homo sapiens)	female	NA	NA	NA	NA	NA	CL:0000148	melanocyte	NA	NA
12733-135H6	H9 Embryoid body cells, melanocytic induction, day21, biol_rep2 (H9EB-2 d21)	stem cells	time courses	Human (Homo sapiens)	female	NA	NA	NA	NA	NA	CL:0000148	melanocyte	NA	NA
